X,Y,Z,Roll,Pitch,Yaw
0,-0.5,-0.000358848,13.54,-1.25,-0.59
0.364333743,0.5,0.000415532,13.41,-1.25,-0.58
0.721667818,1.987114441,-0.044694462,4.64,-1.73,2.8
0.25,0.649844569,0.039042719,-15,-1.65,-0.36
0.5,-0.25,0.000623692,13.47,-1.24,-0.59
0.25,-0.25,-0.002227962,13.31,-4.34,2.53
0.5,-0.25,-0.002687732,13.35,-1.29,-0.6
0,0.5,0.002055003,13.58,-4.39,2.53
1,0.5,0.0003742,13.32,-1.28,-0.6
1.25,0,0,13.46,-1.26,-0.6
0.75,0,0.004284529,13.45,-1.3,-0.59
1.25,0,-0.001612069,13.07,-1.26,-0.6
1.01752106,-0.75,0.005238424,13.21,-1.32,-0.59
0.90318721,0.706878234,-0.056091219,5.26,-1.82,2.8
0.998100711,1.642163305,0.050949887,-16,-4.79,2.78
0.25,1.762637775,0.004661577,12.88,-4.53,2.58
1.96967133,1,0.000965586,13.4,-4.45,2.56
1.806303329,1.047222748,0.017538879,69.99,0,0
0.299858532,0.738574904,-0.090148277,-33.71,0,0
0.663871619,1.803904294,0.024833396,39.46,0,0
0.525568362,0.100868388,-0.010173774,25.03,0,0
0.259059786,1.113776652,0.119012392,12.54,-1.47,-0.61
0.160821191,1.314522243,0.03149896,35.25,0.52,-1.43
0.960632781,0.048509627,-0.050336782,25.15,-1.21,-0.97
0.660395259,0.368362118,0.119662135,13.94,-4.51,2.48
0.202815613,1.771595855,0.037777252,35.22,0.65,-1.48
1.447803605,0.890399058,-0.029622082,25.09,-4.35,2.18
0.557500661,1.017301334,0.119422824,15.4,-4.4,2.43
0.661642154,0.507373763,-0.091993746,2.35,-1.63,2.8
1.386627272,1.869994753,0.029145777,46.6,0,0
1.086955634,0.810923293,-0.003651665,-20.03,0,0
1.311189007,0.382952515,0.011112129,33.15,-2.49,1.46
1.043294678,0.465102667,-0.036864094,25.11,-4.33,2.16
0.121368785,1.586927855,0.119665694,16.46,-4.4,2.42
0.866170637,0.443454991,0.042368011,32.98,0.52,-1.41
